lesson,raw_grad_norm,loss_reg,loss_cls,gate_logit_mean,fed_grad_max
68,875.589267160014,70.38722825671236,37.49163294645647,-6.554629872786552,6.693726539611816
69,946.2142213007379,63.155518098423876,31.401632054088015,-6.542381198521497,10.893500328063965
70,1274.2602500048765,137.32177359734973,65.8642213344574,-6.510299002097426,12.248835563659668
71,1245.4260247444154,58.74490677316984,28.026521754761536,-6.514210712287505,18.5347843170166
72,4374.2440316187885,109.35274583597977,61.94100801460445,-6.474832749160635,19.72884178161621
73,1791.2978852165763,47.30731050173441,22.532265844133992,-6.50917526670194,19.74288558959961
74,1434.6469858962664,70.64236352220178,37.58593664287279,-6.4948077166725575,15.802868843078613
75,600.2744549774146,41.63839306806525,20.93034061634292,-6.510932435296187,7.846527099609375
76,416.04160418164275,69.00234240790208,34.83028859831393,-6.52290824846774,16.38256072998047
77,2176.520300969255,141.00442188729843,36.74029916431755,-6.534309373923383,254.6044464111328
78,350.84157891831524,46.2107765202721,23.518605234722298,-6.5554336405243205,9.602466583251953
79,588.9122832414362,96.40443286672235,39.815799706305064,-6.551558092546662,19.847545623779297
80,1046.3875742028754,92.84492217004299,54.80375579558313,-6.533777356185937,12.945795059204102
81,686.3886650604555,70.23732925330599,36.056341834676765,-6.547727503304752,14.913043022155762
82,664.2473193018728,92.25650847579043,54.03508025407791,-6.5308035341471085,13.296961784362793
83,728.2558777751274,113.69659356524546,58.292869159951806,-6.504672488836459,17.027202606201172
84,2058.560910329644,69.50318827728431,39.9765762751922,-6.533211507287271,22.398914337158203
85,933.0769383218268,63.01420590902368,40.79338363123437,-6.527111993857465,14.254926681518555
86,1011.315843680104,80.23709661265214,49.37548896918694,-6.5257236199466,9.127816200256348
87,655.8061912948981,64.94542342796922,40.282368218526244,-6.544285178909766,11.96112060546875
88,933.2574949317424,94.55938868969679,57.14943472016603,-6.528989031953839,45.570960998535156
89,859.3947387844935,82.52662355949481,51.22590816921244,-6.535871845462785,13.870817184448242
90,668.7749266253944,80.43421357311308,45.43604114279151,-6.549906246638473,23.273475646972656
91,814.4654319278717,34.931428123265505,23.033554423289996,-6.56466988604152,15.291601181030273
92,659.0580794544499,96.48045791064699,61.91092796437442,-6.539650827884826,13.072702407836914
93,619.4080789804017,102.9702808347841,64.25218100845814,-6.5288652912607725,9.567543029785156
94,618.6062168350393,76.57510644694169,50.93107734092822,-6.5392125884271985,20.55333709716797
95,1035.1563522200129,45.75658337958157,27.68450274784118,-6.555414679261915,14.452499389648438
96,1189.1375722817315,51.31058796308935,33.781737981674574,-6.531859177257478,135.375732421875
97,473.1681953240466,48.16657692131897,30.77204305275033,-6.536676653905667,16.04845428466797
98,1287.9690595229522,35.35332675526539,24.057575750475127,-6.517298456113231,16.695556640625
99,1025.0593633197116,74.75562637050946,46.09238091918329,-6.46688093407735,33.6818733215332
100,1680.3132730372854,68.69923032013078,43.44686866675814,-6.494321687382611,20.679929733276367
101,1575.0339285545242,48.87917392514646,27.049577286777396,-6.5255368448319135,33.73999786376953
102,1628.1324078757527,70.50904532832404,37.59669893669585,-6.526153591783849,29.15742301940918
103,1167.8039415098988,57.05809498950839,36.220097221434116,-6.555121849486357,10.559388160705566
104,702.2585195295984,43.960752714425325,23.496024198830128,-6.610775926805558,51.16838073730469
105,577.2984697699623,64.66765206307173,42.45187832818677,-6.619934423894329,9.987103462219238
106,938.8561949052526,46.85202488054832,28.85206004263212,-6.64491558777305,8.704607009887695
107,1471.9253559891606,60.935506105422974,40.63586397655308,-6.6362532280669395,8.19736385345459
108,721.2685025047859,74.84201240849991,48.529806623856224,-6.622024123270925,9.81522274017334
109,555.5909367332993,46.89424821113547,31.138329284265637,-6.633638471126404,10.007214546203613
110,341.9218049624644,71.84727336031695,46.292486228359245,-6.605637115352702,9.917672157287598
111,1013.2822143991209,69.63468424541254,43.739181462054454,-6.5978591623040606,10.347574234008789
112,949.850601572436,51.80923944463333,34.622418840415776,-6.585117250461438,11.53083610534668
113,1521.1547693157963,89.41820190909009,59.778710758934416,-6.549144728230315,10.44400405883789
114,1791.1200140689014,53.55203563533723,39.920273535574474,-6.558645063816184,15.255558013916016
115,772.4372682442619,55.89105279184878,38.485307715522744,-6.562557492697426,34.24830627441406
116,940.3612603546028,34.537297340730824,24.246011195083458,-6.596468151665405,17.5196475982666
117,1044.2726922264883,78.55933637047808,51.45419946561257,-6.569782550541819,14.781597137451172
118,1066.7277529105,61.031674513593316,39.56703151855618,-6.610886490425161,14.327357292175293
119,2071.627124510808,80.15787897010644,56.96701072808355,-6.5909001548588755,16.355632781982422
120,3540.9516350934546,50.65118466131389,36.39332453844448,-6.598354240964706,17.196788787841797
121,3350.64927601112,38.636834303538,28.653491150898237,-6.620574951019189,21.46616554260254
122,2056.786399635371,71.47293045185506,59.9723897545288,-6.560111524354102,23.86907386779785
123,1047.5253447452571,44.906802313402295,37.263684894268714,-6.592895560183664,21.12282371520996
124,2751.8398651040466,73.01757695215444,64.19749145768583,-6.538548273342449,26.053028106689453
125,1632.7973231976182,52.87948635903498,52.54584910534322,-6.534608144696004,31.36410903930664
126,1707.5696009084456,49.41168966703117,44.50794969685376,-6.543067621261005,33.632164001464844
127,3873.5979558300896,29.90695267232756,30.289056941556435,-6.552082033673426,38.9337158203125
128,2254.815360249019,80.95702700130641,71.89797428436577,-6.48556345180178,24.615562438964844
129,2299.2397667504924,81.55018888103466,66.58054340661813,-6.47594756466282,24.52077865600586
130,2160.256538843972,68.53081304704149,52.25526725438734,-6.476357580490919,69.41851806640625
131,835.2768055441886,49.6880955795447,34.59708094224334,-6.478139545228135,38.05037307739258
132,1744.9187220978702,57.75762907912334,44.33162510177741,-6.460699693690192,22.37998390197754
133,1477.059322985966,60.021828558916845,44.99398384491602,-6.470110129516093,20.1336612701416
134,1368.0551133924318,42.52312354681393,34.43117927511533,-6.497219647576402,20.984472274780273
135,421.958222642961,51.01786767877638,36.71130857647707,-6.512263281239251,7.761972904205322
136,663.6941592101376,78.82644183871646,52.46644044884791,-6.539141214928335,17.997390747070312
137,729.3317556095058,53.482488449042044,38.403219580339886,-6.587198669086692,27.067228317260742
138,400.4928281037338,59.885038152957954,40.74773880497863,-6.609383465042872,9.301347732543945
139,319.41247671377323,53.91519496651987,38.61347861153384,-6.640018418855939,7.740490913391113
140,651.3867863328692,88.63133051246405,66.57055427506566,-6.610236720018879,4.460709095001221
141,996.9302436325403,79.83433671171467,61.0164867049704,-6.620473309430487,7.473114013671875
