arm,h,moran_i,conc1pct,fss_1,fss_11,fss_ratio,n_origins
use_real,13,0.6251525865627783,0.5021086436564376,0.49063031593192763,0.8718627462318139,0.5634507202966814,13
use_real,14,0.6233168177524889,0.501416069888162,0.49256773374400276,0.8762805387924874,0.5626622252607048,13
use_real,15,0.6241790760866743,0.4999735215200624,0.4934179202153923,0.8714686924654227,0.5665301185193977,13
use_real,16,0.6243087337466626,0.500016098648296,0.48957105416563923,0.871249049185056,0.5619476092949763,13
use_real,17,0.6244146313354818,0.4976837836696314,0.4903685394620888,0.8718174598322282,0.5627622884177192,13
use_real,18,0.6236544085522627,0.4944817683740665,0.49701807430174894,0.8794962609851025,0.565805095260018,13
use_real,19,0.6223409687561766,0.49358884269285314,0.4978522255407125,0.8792879320575825,0.5660550204704188,13
use_real,20,0.6217539323753131,0.4912388503747811,0.49713547253026924,0.8861951319342027,0.5606054550607046,13
use_real,21,0.6212285494755695,0.49030170220955566,0.5041814925548086,0.8932299773540845,0.5641703904214236,13
use_real,22,0.6228432782539278,0.48880379139877556,0.5028607046929795,0.8953353681212572,0.5611576106730053,13
use_real,23,0.6248762721738458,0.4881584431873293,0.5011966635537635,0.8878099272759545,0.5639729972416015,13
use_real,24,0.6266045738420133,0.48720156143144605,0.5010316810052532,0.890437123533974,0.5620414868894031,13
use_real,25,0.631186318297007,0.485068444748705,0.5056730434390594,0.8924472881569155,0.5661439828207383,13
use_real,26,0.6328786014105825,0.48163930062741,0.5110868893950561,0.8932085177928182,0.5721518274322407,13
use_real,27,0.6362263701138522,0.48317823491027634,0.510111711533834,0.8922610431660255,0.571616389207463,13
use_real,28,0.6386160962220672,0.48261548802807674,0.5139870514053376,0.8991842860076943,0.5713952088445969,13
use_real,29,0.6420479965591099,0.4813398093570904,0.5218368541818422,0.8971364004457776,0.5813571992189073,13
use_real,30,0.6451287126941128,0.4792039078440517,0.5052881131142682,0.8860483987962526,0.5700338539624801,13
use_real,31,0.6484243540384577,0.47733894049511844,0.5061535234254608,0.8842532620238053,0.5721248119111577,13
use_real,32,0.6483908261669493,0.4741259582962569,0.4979469815845902,0.8797668623122589,0.5656104398439221,13
