target,h,model,ref,crps_all_model,crps_all_ref,gap,zero_part,event_part,zero_share,AP_model,AP_ref,delta_AP,size_ratio_model,mcr_all_model,N,n_event,p_event,residual
os,1,zinbcore_th_42,light_strider,0.037891473252644726,0.030032330905650415,0.007859142346994311,0.007721400451441224,0.0001377418955530836,0.9824736734020645,0.2587222648100578,0.1585726555393231,0.10014960927073469,0.0,2.2310146798059374,170430,709,0.004160065716129789,-3.469446951953614e-18
os,1,zinbcore_th_43,light_strider,0.033258705961456296,0.030032330905650415,0.003226375055805881,0.002278733230047031,0.0009476418257588502,0.7062828067513222,0.24735973555078547,0.1585726555393231,0.08878708001146238,0.0,1.5989682813197013,170430,709,0.004160065716129789,4.336808689942018e-19
os,1,zinbcore_th_44,light_strider,0.03792337782548528,0.030032330905650415,0.007891046919834863,0.007302056715256982,0.0005889902045778824,0.9253596879398346,0.2628282309679311,0.1585726555393231,0.10425557542860803,0.0,2.4583599647957577,170430,709,0.004160065716129789,0.0
os,18,ZINB_42,light_strider,0.22791468852067864,0.03703671297416828,0.19087797554651037,0.1910736718761776,-0.00019569632966725707,1.0010252431120297,0.03549653960878158,0.11631320249125227,-0.08081666288247069,0.22916666666666666,29.989042021659465,170430,797,0.004676406735903304,-2.7755575615628914e-17
os,18,ZINB_43,light_strider,0.06939377651599549,0.03703671297416828,0.032357063541827207,0.032313567134401706,4.349640742550336e-05,0.9986557368727458,0.06768676091359552,0.11631320249125227,-0.04862644157765675,0.0,6.52453727468489,170430,797,0.004676406735903304,0.0
os,18,ZINB_44,light_strider,0.23396931868574397,0.03703671297416828,0.1969326057115757,0.19551418628708644,0.0014184194244892447,0.992797437380346,0.03869138309049516,0.11631320249125227,-0.0776218194007571,0.17500001192092896,34.13563226554263,170430,797,0.004676406735903304,0.0
os,18,coord_enc_42,light_strider,0.03437930895784459,0.03703671297416828,-0.0026574040163236876,-0.004603807741161566,0.0019464037248378763,1.7324455419204856,0.05496397381689303,0.11631320249125227,-0.061349228674359234,0.0,0.1990700304804879,170430,797,0.004676406735903304,-1.734723475976807e-18
os,18,coord_enc_43,light_strider,0.034608141935844626,0.03703671297416828,-0.002428571038323654,-0.004542840600235812,0.0021142695619121563,1.8705817242107745,0.07656964489110622,0.11631320249125227,-0.03974355760014604,0.0,0.24722755455271767,170430,797,0.004676406735903304,-1.3010426069826053e-18
os,18,coord_enc_44,light_strider,0.0340597129479083,0.03703671297416828,-0.0029770000262599808,-0.005044237814329113,0.002067237788069132,1.694403013044717,0.08142913964765267,0.11631320249125227,-0.0348840628435996,0.0,0.11764319985877257,170430,797,0.004676406735903304,0.0
os,18,coord_top_42,light_strider,0.033781739571984506,0.03703671297416828,-0.0032549734021837737,-0.005412882578780042,0.0021579091765962705,1.662957545259362,0.04385838455445739,0.11631320249125227,-0.07245481793679487,0.0,0.04966381364703696,170430,797,0.004676406735903304,2.168404344971009e-18
os,18,coord_top_43,light_strider,0.03661895650057266,0.03703671297416828,-0.00041775647359561935,-0.0023610430792737353,0.0019432866056781136,5.651721106682794,0.05825794479201875,0.11631320249125227,-0.05805525769923352,0.0,0.6215944676066336,170430,797,0.004676406735903304,-2.3852447794681098e-18
os,18,coord_top_44,light_strider,0.033653754476381983,0.03703671297416828,-0.0033829584977862967,-0.005529591050548731,0.00214663255276244,1.634542975968261,0.06662362299582072,0.11631320249125227,-0.04968957949543154,0.0,0.029623645306024876,170430,797,0.004676406735903304,5.204170427930421e-18
os,18,gated_NB_42,light_strider,0.0372663997998524,0.03703671297416828,0.00022968682568411808,-0.0011824983242447365,0.0014121851499288554,-5.148307138307504,0.09644684765828493,0.11631320249125227,-0.019866354832967337,0.0,0.7926126414928826,170430,797,0.004676406735903304,8.673617379884035e-19
os,18,gated_NB_43,light_strider,0.03446823843787451,0.03703671297416828,-0.0025684745362937675,-0.0045587929160334885,0.001990318379739723,1.7749029050572918,0.10657741008434536,0.11631320249125227,-0.009735792406906904,0.0,0.23666170487844607,170430,797,0.004676406735903304,2.168404344971009e-18
os,18,gated_NB_44,light_strider,0.03375570249088506,0.03703671297416828,-0.00328101048328322,-0.0052185212520393185,0.0019375107687560997,1.5905225779154728,0.10946412168249131,0.11631320249125227,-0.0068490808087609545,0.0,0.10244935434692225,170430,797,0.004676406735903304,8.673617379884035e-19
os,18,th_gated_NB_42,light_strider,0.038768391050968846,0.03703671297416828,0.0017316780768005663,0.00039879602218838154,0.0013328820546121866,0.2302945492762683,0.095848059239713,0.11631320249125227,-0.020465143251539267,0.0,0.9321298018823938,170430,797,0.004676406735903304,1.734723475976807e-18
os,18,th_gated_NB_43,light_strider,0.035176190421687306,0.03703671297416828,-0.001860522552480974,-0.00361458192665952,0.0017540593741785474,1.942777808223576,0.11213314888735293,0.11631320249125227,-0.004180053603899336,0.0,0.3662897187336847,170430,797,0.004676406735903304,1.5178830414797062e-18
os,18,th_gated_NB_44,light_strider,0.03416010239721394,0.03703671297416828,-0.00287661057695434,-0.004742060982830569,0.0018654504058762266,1.648489031091343,0.10349923011097525,0.11631320249125227,-0.012813972380277011,0.0,0.18468389331261975,170430,797,0.004676406735903304,-2.168404344971009e-18
os,18,zinbcore_soft_42,light_strider,0.5612063119567519,0.03703671297416828,0.5241695989825835,0.5252465221794154,-0.0010769231968318286,1.0020545319662226,0.0228405457202622,0.11631320249125227,-0.09347265677099006,1.0625001192092896,70.11314957698991,170430,797,0.004676406735903304,0.0
os,18,zinbcore_soft_43,light_strider,0.1259169830896237,0.03703671297416828,0.08888027011545543,0.08852579557050361,0.00035447454495181704,0.9960117746661732,0.04108947056836761,0.11631320249125227,-0.07522373192288465,0.15625,14.628361964658803,170430,797,0.004676406735903304,-1.3877787807814457e-17
os,18,zinbcore_soft_44,light_strider,0.2774579399751748,0.03703671297416828,0.24042122700100654,0.2413940019870157,-0.0009727749860091555,1.0040461276990533,0.029224412834955492,0.11631320249125227,-0.08708878965629677,0.625,34.845486873935826,170430,797,0.004676406735903304,0.0
os,18,zinbcore_th_42,light_strider,0.12431047696364267,0.03703671297416828,0.0872737639894744,0.08699969270914742,0.0002740712803269606,0.9968596372174343,0.055367625291020864,0.11631320249125227,-0.0609455772002314,0.04999999602635701,11.851314205027027,170430,797,0.004676406735903304,-1.3877787807814457e-17
os,18,zinbcore_th_43,light_strider,0.051826079792232645,0.03703671297416828,0.014789366818064364,0.013726757004273888,0.001062609813790476,0.9281504186850947,0.07062830412477678,0.11631320249125227,-0.04568489836647549,0.0,2.819725851060896,170430,797,0.004676406735903304,0.0
os,18,zinbcore_th_44,light_strider,0.08360186425722772,0.03703671297416828,0.04656515128305944,0.04562777613860644,0.0009373751444529941,0.9798695995046832,0.06972930255945994,0.11631320249125227,-0.04658389993179232,0.0,6.694791482548759,170430,797,0.004676406735903304,-6.938893903907228e-18
os,36,ZINB_42,light_strider,0.5623015193252372,0.07128678053077143,0.4910147387944658,0.4924977008819244,-0.001482962087458621,1.0030201987237686,0.014611081052438763,0.07815971849050767,-0.0635486374380689,0.4375,34.60046793550383,170430,813,0.00477028692131667,0.0
